  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 41/100] train loss=0.0564, val PSNR=23.76 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  [DIV2K][Epoch 42/100] train loss=0.0562, val PSNR=23.81 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 43/100] train loss=0.0559, val PSNR=23.82 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 44/100] train loss=0.0559, val PSNR=23.79 dB
  [DIV2K][Epoch 45/100] train loss=0.0557, val PSNR=23.85 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 46/100] train loss=0.0552, val PSNR=23.87 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 47/100] train loss=0.0553, val PSNR=23.80 dB
 
[DIV2K][Epoch 48/100] train loss=0.0550, val PSNR=23.85 dB
 [DIV2K][Epoch 49/100] train loss=0.0547, val PSNR=23.94 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 50/100] train loss=0.0548, val PSNR=23.94 dB
 [DIV2K][Epoch 51/100] train loss=0.0546, val PSNR=23.97 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 52/100] train loss=0.0546, val PSNR=23.96 dB
 [DIV2K][Epoch 53/100] train loss=0.0545, val PSNR=23.99 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 54/100] train loss=0.0542, val PSNR=23.93 dB
 [DIV2K][Epoch 55/100] train loss=0.0541, val PSNR=24.02 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 56/100] train loss=0.0540, val PSNR=24.03 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  [DIV2K][Epoch 57/100] train loss=0.0539, val PSNR=24.04 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  [DIV2K][Epoch 58/100] train loss=0.0538, val PSNR=24.05 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  [DIV2K][Epoch 59/100] train loss=0.0536, val PSNR=24.06 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 60/100] train loss=0.0536, val PSNR=24.05 dB
 [DIV2K][Epoch 61/100] train loss=0.0536, val PSNR=24.07 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 62/100] train loss=0.0534, val PSNR=24.08 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 63/100] train loss=0.0534, val PSNR=24.07 dB
 [DIV2K][Epoch 64/100] train loss=0.0533, val PSNR=24.10 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 65/100] train loss=0.0533, val PSNR=24.07 dB
 
[DIV2K][Epoch 66/100] train loss=0.0533, val PSNR=24.10 dB
 [DIV2K][Epoch 67/100] train loss=0.0531, val PSNR=24.11 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  
[DIV2K][Epoch 68/100] train loss=0.0530, val PSNR=24.10 dB
 [DIV2K][Epoch 69/100] train loss=0.0530, val PSNR=24.13 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 70/100] train loss=0.0529, val PSNR=24.13 dB
 
[DIV2K][Epoch 71/100] train loss=0.0529, val PSNR=24.13 dB
  [DIV2K][Epoch 72/100] train loss=0.0529, val PSNR=24.15 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 73/100] train loss=0.0527, val PSNR=24.15 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 74/100] train loss=0.0527, val PSNR=24.16 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 75/100] train loss=0.0527, val PSNR=24.16 dB
  [DIV2K][Epoch 76/100] train loss=0.0526, val PSNR=24.16 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 77/100] train loss=0.0526, val PSNR=24.17 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 78/100] train loss=0.0525, val PSNR=24.17 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 79/100] train loss=0.0525, val PSNR=24.16 dB
  [DIV2K][Epoch 80/100] train loss=0.0525, val PSNR=24.18 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 81/100] train loss=0.0525, val PSNR=24.17 dB
 [DIV2K][Epoch 82/100] train loss=0.0524, val PSNR=24.18 dB
